VALENCE,AROUSAL,SENTENCE
1.0,1.0,I'm interested
-1.0,-2.0,inane
1.0,1.0,Kind-hearted
0.0,1.0, U_M i'll give it a try x
0.0,1.0,omelettes.
-1.0,1.0, U_M Yeah I found that out the hard way I wasn't thinking.
1.0,1.0,tastefully
0.0,1.0, U_M you never camee lol
1.0,1.0,let's just chat
1.0,1.0,This is no longer a risk
-1.0,0.0, U_M woops I still can't log in. I don't know what's wrong .
-1.0,1.0,"""There's no way this gets signed, right? Is it just lip service?"""
1.0,1.0,convincingly
1.0,1.0,this image makes me feel pleasant
0.0,1.0,come on
-1.0,-2.0,so i dont advice to buy technical and expensive products here. Only something cheap
-1.0,1.0,He isn't unique to that. Every defensive metric disagrees
1.0,0.0,just calm
1.0,1.0,I'd actually really like to see the numbers.
0.0,1.0,does PERSON_NAME stand for anything
-1.0,1.0,"""It's barely a jumpscare tho, i dont get how this could be startling at all"""
0.0,0.0, U_M Mine is still to young for scouting so Saturdays are normally reserved for the park or the playground.
0.0,1.0,a salesperson
-1.0,1.0,limp
0.0,1.0,PERSON_NAME mine
-1.0,inadequate,insufficient
1.0,1.0,calmly
-1.0,1.0,murky
1.0,1.0, U_M hi welcome to my life on your trail also
0.0,1.0, U_M Do you need anything?
1.0,1.0,nicely
0.0,1.0,! remind me 2 days
0.0,1.0,let's talk about purpose
0.0,1.0,sopes
0.0,1.0,DATE actually
1.0,1.0,umm makes me feel friendly and somewhat maternal becuase I've looked after children before
1.0,1.0,Hey there.
1.0,1.0,You summed it up perfectly. I can't even say anything else because I have nothing else better to say.
1.0,1.0,sincere
-1.0,-2.0,nope
1.0,1.0,likable
-1.0,1.0, U_M oh well. i was looking for patterns and they don't seem to exist
-1.0,-2.0,I don't feel very well
0.0,1.0,yeah
0.0,1.0,although
0.0,0.0, U_M it came out in July. I was on holiday at the time. They have 2 events one at da start of the year and one June. I think.
1.0,1.0,Spending the day with family in beautiful Bowral
-1.0,1.0,my pic with harry is so bad
1.0,1.0,uhh peaceful it's like a umm uhh
0.0,1.0,showing it to my colleagues
1.0,1.0,that's a good thing
0.0,1.0,foot
0.0,1.0,No doubt about that
0.0,1.0,Which one interests you??.
1.0,1.0,"""I can help you find one, if you'd like."""
-1.0,1.0,had lunch No work getting sleep
0.0,1.0,I like to think it rhymes with wasabi but I have no idea
-1.0,unclassified,unintelligible
-1.0,1.0,uhh tense and annoyed that someone has thrown a bucket of water at me
1.0,1.0,content
1.0,1.0,makes me feel soft at heart
-1.0,-2.0,substandard
0.0,1.0,He wanted to make a fake foul.he didn't know it was nacho
-1.0,1.0,insult
0.0,1.0,could I ask you for rating
1.0,0.0,cleanly
0.0,1.0,is that real name?
0.0,1.0, still
1.0,1.0,"""So what first, ask away."""
1.0,1.0,"""nah, she looks ok"""
-1.0,1.0,I Gots no one to talk Eragon to so I can't make any refferances
-1.0,-2.0,irrelevance
0.0,1.0,explaining what they doing from my FIRST_NAME
0.0,0.0,what are some machines doing
0.0,1.0, U_M ay. charing lang. lemme add u sa YM.
0.0,1.0,oh what are you here for
0.0,1.0,what's talk about something else
-1.0,1.0,That's not very cash money of you
-1.0,1.0,I thought it was 'You are only willing to help yourself'. I could be wrong though.
0.0,0.0,the product is ok
0.0,1.0,take it URL
-1.0,1.0,didn't see that coming
-1.0,0.0,Might be best to leave this one for another time.
0.0,1.0,RemindMe! 3 months
-1.0,1.0,doesn't want to
0.0,1.0,Now there's a thought…
-1.0,1.0,Who fucking cares. People have sex all the time. You're just an asshole for trying to to profit from it or ruin her.
0.0,1.0,"""Double negatives are two negative words used in the same sentence. Using two negatives usually turns the thought or sentence into a positive one. Double negatives are generally discouraged in English because they are considered to be poor grammar and they can be confusing. However, they are sometimes used in everyday casual speech and you'll find many examples in popular song lyrics."""
0.0,1.0,my tumblarity drop too far (from 79 to 9) URL
-1.0,1.0,why does this dumb company employ digital humans?
0.0,1.0,TIME
-1.0,0.0,I don't think I can help you with that today.
1.0,1.0,Looks like pretty much any Donkeys fan.
0.0,1.0,they dosen't hate it.
-1.0,-2.0,FALSE
-1.0,0.0,She did not like Bikhram yoga.
1.0,1.0,timely
0.0,1.0,I have not
1.0,1.0, U_M i'm jealous BTW congrats on &quot;Mashable lists TopCoder as one of the top 5 Social Media Resources for Developers URL
0.0,1.0, U_M Me too! Will look into it now
1.0,1.0, U_M Cheers I'll start planning
1.0,1.0,lovingly
0.0,1.0,A stick.
0.0,1.0,that's probably why is
1.0,1.0, U_M oh god hope she is ok huge hugs xx
1.0,0.0,that is not really bad
1.0,1.0,hello
-1.0,1.0, U_M ill tell ya the story later not a good day and ill be workin for like three more hours
1.0,1.0,umm free
-1.0,1.0,slug
1.0,1.0, U_M Thank You! FF
0.0,1.0,she talked to it
-1.0,1.0,weak
-1.0,1.0,sloppily
1.0,1.0,Mornin' all i'm gettig ready to in to the lovely dairy
0.0,1.0, U_M I don't think even Paxton &amp; Whitfield do it. Maybe the Cheese Centre at Victoria!
-1.0,1.0,feeble
1.0,1.0,gusto
0.0,1.0,what are you
0.0,-2.0,can you put a cap on.
-1.0,1.0, U_M yes i won butt likee idk how to contact them i fucked up with the email they said they will email me the dates but meh
0.0,1.0,"""Why say something """"is not purple"""" when we can be more specific and say it is blue? Positive sentences require fewer words, fewer verb conjugations, and draw a direct line to the point you're trying to make. Let's change all the negative sentences above to positive sentences and see how they clear things up."""
0.0,1.0,Ok I'll stop talking
0.0,1.0,Is that Jason Jones? URL
-1.0,1.0, U_M i well want to. i was actually gutted when i found out they was here how sad!
-1.0,1.0,undermined
-1.0,1.0,im guessing i didnt win
1.0,1.0, U_M I love you really xx
0.0,1.0,how I didn't know that
1.0,1.0,gracefully
1.0,1.0,treat
-1.0,-2.0,This won't make me happy.
0.0,1.0,I'm just waiting
0.0,1.0,Just had lunch (kinda) with U_M Got his Audi looked at for him although to no end
0.0,1.0,so what shall we chatterbaits bouncing
-1.0,1.0,Suspicious
-1.0,1.0,you mean the grammatical mistakes why Vultures ? i think you should give a try
0.0,0.0,i guess.
1.0,1.0,makes me feel comfortable and
-1.0,1.0,Morrniing Such Bad Weather x
1.0,0.0,reasonably
1.0,0.0,I feel fairly relaxed
0.0,0.0,funding
0.0,1.0,Ok. Next topic is soul machines
1.0,1.0,"""Therefore, they carefully use the power of words to create genuine connections and lasting relationships with people in their professional and personal lives. You can easily spot super positive people by the way they carry themselves and by the way they speak."""
1.0,0.0,yeah generally happy not much like
-1.0,1.0,i'm only a 'fan' to you? disappointed.
0.0,1.0, U_M I know. bye bye Geni mou. masterchef
0.0,1.0,i see
0.0,1.0,it's like that
1.0,1.0,remarkably
-1.0,1.0,I feel like I should probably know this
0.0,1.0,something about
-1.0,1.0,dirt
1.0,0.0,improving
-1.0,1.0,i cant concentrate on mab either sorry popo
0.0,1.0,what did it cost
-1.0,-2.0,uncreative
1.0,1.0,it can move around as well?
1.0,1.0,promising
-1.0,1.0,you're not answering my question
1.0,1.0,amiyo bhalo Good to hear from you in Bangla )
0.0,1.0,Wondering what the amongstfriends will be tonight. But nobody wants to tell
1.0,1.0,sweet
1.0,1.0,and full of love
1.0,1.0,galore
-1.0,1.0,not good
0.0,1.0,Care to elaborate?
-1.0,1.0, U_M thinks covering certain songs in such a depraved fashion should be illegal. Poor Toto URL
0.0,1.0,"""Negative sentences can also make use of the words """"do"""" or """"will"""" (including """"do,"""" """"did,"""" and """"does"""") before """"not."""" In any of these constructs, it's possible to substitute """"does not"""" with the contraction """"doesn't."""" Other examples include didn't, isn't, wasn't, weren't, and won't."""
1.0,0.0,uhh content there's a lot of colour it's very artistic uhh it's a nice photograph I like the composition
0.0,1.0,do you ever get tired ?
0.0,0.0,Shall I order a salad for your in-flight meal?.
0.0,1.0,anyhoo
1.0,0.0,manageable
1.0,1.0,bountiful
0.0,0.0,how does a digital brain work
-1.0,-1.0,shortcoming
0.0,1.0,do you ever get tired doing the same thing ?
-1.0,1.0,in depressing way because
-1.0,-2.0,disinterested
1.0,1.0,Tasteful
1.0,1.0,let's roll play this
0.0,1.0, U_M morning how ya
0.0,1.0,I can help you with the following topics
-1.0,low activation,uninteresting
0.0,1.0,if you like.
-1.0,-2.0,the album overall sounds consistently awful.
1.0,1.0,"""Beautiful mirror, great value. Looks more expensive. Have received many compliments"""
0.0,1.0, U_M No such luck Instead I got a bus that couldn't drive over 30km/h. But 1.5 hours was pretty accurate!
0.0,1.0,what's my name
-1.0,1.0,yet no synonym of whatever rhymes with your name
-1.0,1.0,aww florida back down Alabama 3; Florida 2 ): ughh they'll pick it back up
1.0,1.0,hi mate all good
0.0,1.0,what will you close
0.0,1.0,apple is a fruit
0.0,0.0,Is that still the case?.
-1.0,-2.0,who made this? such a rubbish
1.0,0.0,"""I agree that positive sentences can make our writing clearer. You said it: """"Why say something isn't so when you can say it is?"""" This definitely reminds me of writing in the active voice. Great article; thank you!"""
-1.0,-1.0,ineffective
0.0,1.0,but still
1.0,1.0,roomy
1.0,1.0, U_M lol agreed
0.0,1.0, U_M thts ok thn did u do well?
1.0,1.0,but umm it would be it would be mostly good
0.0,1.0,who is the famous stem Advocate
1.0,1.0,umm like I'm at home
1.0,1.0,tidy
0.0,0.0,can you give me a example about a salesperson
0.0,1.0,He kinda looks like [NAME]
1.0,1.0,flawlessly
-1.0,1.0,no we don't have a spare
-1.0,1.0,What evidence are you basing this on? What evidence would you accept as convincing you're wrong?
0.0,0.0,"""I bought this for my daughter as a companion to her Yeti in my Spaghetti game. I wasn't too sure what it was, but I was going to give it a shot. And it was on sale for less than $7, so I though it was a good deal. The game is very interesting, to say the least. You have to assemble the ice mountain and once you do that, it will never go back into the box. EVER! You each have a Yeti and your goal is to get your meatballs on each level of your side of the ice mountain. You slam down on little levers - kind of like hungry hungry hippos - and launch your meatballs. The only problem is that the ice mountain may start to come apart - or even tip! - if you have very strong players."""
0.0,1.0, except that they're an [NAME] coached team.
0.0,1.0,CommBank
-1.0,1.0,Bad day
-1.0,0.0,just neutral but I'm a bit worried that the
1.0,1.0,diligently
1.0,1.0,I like your style B)
-1.0,-2.0,unsupported
0.0,0.0,self-service kiosk
-1.0,-2.0,you're not funny
0.0,0.0,I heard the Oscar's had its lowest ever ratings this year.
0.0,0.0,Double negatives are generally discouraged in English because they are considered to be poor grammar and they can be confusing.
0.0,1.0,just tickets
-1.0,1.0,unwillingness
0.0,1.0,prefer
0.0,1.0,the faces
0.0,1.0,That reminds me of this
-1.0,1.0,itchy
1.0,1.0,charm
0.0,1.0,The classic novel little women.
0.0,1.0,what is this
0.0,1.0,tell me what you know
1.0,0.0,a bit restive like a lazy
-1.0,1.0,puzzling
1.0,1.0,Straight-forward
-1.0,1.0,nuisance
1.0,1.0,I enjoyed the 1:50 seconds of this person going about their day uneventfully
0.0,1.0,Do I have coffee yet?? URL
-1.0,1.0,I refuse to answer that question
1.0,1.0, U_M they've been making fun of me and my blog but i have a fair idea of who it is.
-1.0,-2.0,unhelpful
1.0,1.0,Funny how it do
-1.0,1.0, U_M Aww i hate that Make sure you take something x
1.0,1.0,emotions
-1.0,0.0,half-heartedly
1.0,0.0,"""Is that program reciprocal for the University of Minnesota? If so, that's pretty cool."""
0.0,1.0,Could this be more .jpeged
0.0,0.0,dryer
-1.0,-2.0,trash
-1.0,1.0,Damn work calls be back in a bit
1.0,1.0,aptly
0.0,0.0,I can try and translate it.
0.0,0.0,Similar to seroquel?
1.0,1.0,but then satisfied that I
1.0,1.0,soft spot
-1.0,0.0,I don't feel that good today
1.0,1.0,welcome
-1.0,1.0,i have no idea what you're talking about
-1.0,1.0,hello I'm not sure of the cameras working
1.0,1.0,yeah quite a few I quite like
1.0,1.0,invite
0.0,1.0, U_M i do i do where do you live? haha
0.0,1.0,so they are not in Prague
-1.0,1.0,confusing
0.0,1.0,"""Positive and negative sentences in English grammar are complete opposites. But, making the change from negative to positive is quite easy. Why would you want to do this? Your sentences will benefit from improved clarity with positive statements."""
-1.0,1.0,grate on
-1.0,1.0,I bet it sucks
0.0,1.0, U_M If you hear something let me know xx
0.0,1.0,my name is peter
1.0,1.0,must've made an impression
1.0,1.0,No worries.
0.0,1.0,wait what hello how are you
1.0,1.0,smartly
0.0,1.0, U_M Heey :] i know ahh lol im okaay just ill hbu ?
0.0,0.0,customer service agent
1.0,1.0,take care
0.0,1.0,This gem is not uncommon.
0.0,1.0,and see PERSON_NAME no chat
0.0,1.0,what
1.0,1.0,"""bye, thanks"""
1.0,1.0,I'm good how are you
0.0,1.0, U_M then direct message me ur addy. it might be a few weeks b4 i send it tho. I have a $400 traffic ticket I have to pay first lol.
-1.0,1.0,dumps
1.0,1.0,"""Kinda like a thing that comes out of the ground and it smells nice, I think. Cannot confirm"""
1.0,0.0,and a little bit calm
0.0,1.0,what's that
0.0,1.0, U_M Can't you borrow some? Or hitch a ride?
-1.0,1.0, U_M Did we kill guerrilla knitting? We'll go off and stand in the corner with Banksy and feel shame. Sorry
1.0,0.0,can you please tell me about how soul machines works
1.0,1.0, U_M Lol yes we aree haha
0.0,1.0,goa URL
0.0,1.0,you can ask
-1.0,-2.0,unsatisfactory
-1.0,0.0,i dont think i did to well in my interview today
0.0,1.0,I'm just going to keep sipping my tea
1.0,1.0,plentiful
1.0,1.0,soul
0.0,1.0,he dosen't like it
1.0,1.0,neatly
1.0,1.0,it works
1.0,1.0,delicate
0.0,1.0,New twitter account
-1.0,1.0,it is random after all
-1.0,-2.0,unconvincing
0.0,1.0,can you see me
1.0,1.0,I trust you
-1.0,1.0,why is no one screaming
0.0,0.0,editing movie
-1.0,0.0,inefficiency
-1.0,0.0,maybe I don't use it that well
0.0,1.0,Interesting. So people get their cars repossessed and not arrested because ?
1.0,1.0,fruitful
-1.0,1.0,downgrade
1.0,1.0,""" BTW it does sound like you're generally doing brilliantly, all things considered."""
1.0,1.0, U_M hello good morning!
0.0,1.0,"""no, it is not my birthday"""
1.0,0.0, U_M doing very well I hope rome has better weather than switzerland
1.0,1.0,versatile
-1.0,1.0,so system won't even boot All my benchies are on it too (
0.0,1.0,how do you learn
0.0,0.0,can you tell me about where soul machines are based
0.0,1.0, U_M oh no another one lol
0.0,1.0,is it alright
1.0,0.0,and relaxed umm
-1.0,-2.0,it doesn't work at all
0.0,0.0,there are forms you can use to request a call back
0.0,1.0,Back to reality x
-1.0,1.0,You didn't say they were racist channels
0.0,1.0,Doing my part
-1.0,1.0,I'd better start working I don't want to
-1.0,1.0,does not answering any of my questions
1.0,1.0,good how are you
-1.0,0.0,A modicum of suspense and thrills can't wash away the errors in the script and in the performances.
-1.0,1.0,Patrick has no knowledge about it.
0.0,1.0, U_M would give ya hand if we could
0.0,1.0,do you like LAST_NAME
-1.0,0.0,maybe a bit sad
1.0,1.0,mature
0.0,1.0,The results are not inconclusive.
1.0,1.0,it's very cute image
1.0,1.0,don't stress dude no worries
-1.0,0.0,marginal
1.0,1.0,"""uh good, it's good to"""
-1.0,1.0,sorry
1.0,1.0,talented
1.0,0.0,that's interesting
1.0,1.0,Oh no this is cute
0.0,1.0,Does that sound right to you?.
1.0,1.0,they cute
0.0,1.0,"""No, I don't."""
-1.0,0.0,None of us liked the movie.
-1.0,1.0,no I didn't realise that
-1.0,0.0,it takes very long time
0.0,1.0,what's going on beach
1.0,1.0, U_M awwh i hope it gets better soon and all good here thanks :0
-1.0,1.0,I disagree with all of what you just said but I am in the same booaat.
0.0,1.0,can you sell me a car
-1.0,1.0,poorly
1.0,1.0,apt
0.0,1.0,> mopey?Like Droopy? Ah well maybe
1.0,1.0,abundance
-1.0,1.0,this is no longer good
-1.0,1.0, U_M chickened out. We were both being hit on by ghastly dudes bummer city
0.0,1.0,okay
0.0,1.0,Only time will tell :P
1.0,1.0, U_M perhaps! but i think it's nice when people have the courage to pull it off in their memory URL
-1.0,0.0,"""Lots of features, can be a pain to set up. Not a simple plug and play printer"""
1.0,1.0,healthy
1.0,1.0,faithfully
0.0,1.0,can't believe my battery flat again URL
1.0,1.0,brightly
0.0,1.0,"""I thought that too, just work hard you'll get there"""
1.0,1.0, U_M Aww Paul. I lovee you! I'll make you feel better somehow
-1.0,-2.0,waste
1.0,1.0,conveniently
-1.0,0.0,slow
-1.0,-2.0,can't do this
-1.0,1.0,never
0.0,0.0,how does digital brain work
0.0,1.0,so pretty height few customers
0.0,0.0,can you tell me more about sewing machines
0.0,1.0,Thinking of what to write in here
0.0,1.0,can you hear me
-1.0,1.0,I'm losing my appetite URL
-1.0,1.0, U_M I prob won't be able to make it bc of work &amp; my wallet is also crying. Sad.
1.0,1.0,avid
-1.0,1.0,Keep telling yourself that
1.0,1.0,just got back home from my aunt's house. there were a small gathering. it was fun
-1.0,1.0,blurred
1.0,1.0,umm happy or in
0.0,0.0,might think about it
1.0,1.0,nurture
-1.0,1.0,sickly
1.0,1.0,best-known
0.0,0.0,i have a question about Institutional Banking
0.0,1.0, U_M I suppose not. Maybe I'm jealous I can't read it!! I do know that Hallò means something something.
-1.0,-2.0,not buy
0.0,1.0,He says you just have to have it.
1.0,1.0, U_M I can't wait to see it How was the trip? )
0.0,1.0,it's just an off day. Fingers crossed !
1.0,1.0,prominent
1.0,1.0,humble
1.0,0.0,suitable
0.0,0.0,"""In their second pilot study, subjects were asked whether they would participate in an altruistic activity"""
0.0,0.0,I see.
1.0,1.0,heartfelt
0.0,1.0,That's how it be
1.0,1.0,New
-1.0,0.0,erode
-1.0,1.0,lousy
0.0,1.0,I used the term very loosely.
1.0,1.0,well-behaved
-1.0,-1.0,weakened
1.0,0.0,steadily
-1.0,1.0,which totally blows
1.0,1.0,diversified
-1.0,1.0,I don't think that's true. Every major story I remember from the [NAME] investigation has been from court documents.
-1.0,-2.0,Our lids were very difficult to get on and the lid leaked in the seal with lid firmly on. We returned them
0.0,1.0,what are you here for
0.0,0.0, U_M not really for both statements. fish.
-1.0,1.0,inaccurately
0.0,0.0,"""While you're considering clarity in your writing, consider using the active voice as well."""
0.0,1.0,who's your favourite actor
0.0,1.0,Let's change all the negative sentences above to positive sentences and see how they clear things up.
0.0,0.0,We cannot say for sure what will happen
-1.0,-2.0,thinks that twitter is not very interesting
1.0,1.0, U_M Very good. Just uploaded the video that you contributed to should be processed soon x
-1.0,0.0,"""Sorry, could you please try putting that in a longer sentence?"""
0.0,1.0,I just I just I just talked with that maybe but it's should remain within us because
0.0,-2.0,hmm well nathing
1.0,1.0,light
0.0,1.0,he dosen't hate it.
1.0,1.0,it makes me feel fresh
0.0,1.0,Why aren't you online?
0.0,1.0,PERSON_NAME at Bank ABC please
-1.0,1.0,Pretty sure it's a rubber toy made to look like one
1.0,1.0, U_M I love that saying Its very clever
-1.0,1.0,they didn't have 'tea ninja'
-1.0,1.0,Americans are getting a lot of show and very little results
0.0,1.0,what's your favourite song
-1.0,-2.0,it makes me feel bad
-1.0,1.0,"""Couldn't really fit this as a """"how to,"""" does that mean I have to go to jail now? Source:"""
1.0,1.0,This thread was actually inspired by one of your comments
1.0,1.0,go-go chicken and vegetable
1.0,1.0,splendidly
0.0,1.0,Morning world
1.0,1.0, U_M Quaase bom! Bom dia!
0.0,1.0, U_M One? i cant choose Umm The summer set or this century!!
0.0,1.0,what do you do ?
0.0,0.0,why should I choose soul machines
1.0,1.0, U_M Well you guys are still so amazing together! I hope to see much more of you guys for the years to come Much Luv XoX
0.0,1.0, U_M URL part of the trend
0.0,1.0,no I said yes
0.0,0.0,composition
-1.0,1.0,impolitic
-1.0,0.0,no I didn't know that
1.0,0.0,estimation
1.0,1.0,appropriately
1.0,1.0,relieve
1.0,1.0,Lovely act of kindness
-1.0,0.0,it doesn't make me happy
1.0,1.0,Ah thanks
0.0,1.0,dog
1.0,1.0,fresh
-1.0,1.0,Nail in the coffin. Sucks that refs always feel the need to call an equalizer penalty
1.0,1.0, U_M what kind of workout are u doing now? Tabata style workouts are a great for short time frames your family is beautiful
1.0,1.0,durable
0.0,1.0, U_M something u would say lmao. Night
1.0,1.0, U_M your friend would be proud that I took it off the road URL
-1.0,1.0,Is that listing not supposed to be a joke?
0.0,1.0,but
1.0,1.0,it makes me feel nice
0.0,1.0,bed
1.0,1.0,encouraging
1.0,1.0,relaxation
-1.0,-2.0,"""Terrible dialogue, unbelievably predictable plots, not an ounce of originality"""
0.0,1.0,how far is
0.0,1.0,let's talk about
1.0,1.0,Works well and is perfect for my kitchen use.
0.0,1.0, U_M I was supposed to go tonight But I haven't perfected the art of cloning yet. How's the show!
1.0,0.0,scenic
1.0,1.0,Bom dia! Good morning!
-1.0,unclear,unclear
0.0,1.0,Okay.
0.0,0.0,I don't think I've seen that movie before.
0.0,1.0,naturally
-1.0,0.0,not very good
-1.0,0.0,Restaurants and bars are also struggling to look after their regular customers
0.0,1.0,what are the other things
0.0,1.0, I will search and find just wanted ask B4 I hunted
1.0,0.0,Good to know
0.0,1.0,She's my cousin.
1.0,1.0, U_M thanks Hemal keep touch
-1.0,0.0, that wont turn up til saturday
1.0,1.0,articulate
0.0,1.0, U_M The end of an era indeed URL
-1.0,1.0,misalign
1.0,1.0, U_M Yay! Puddles are fun too!
1.0,0.0,it's decent
0.0,0.0,got a cold
0.0,1.0,This sounds very familiar
-1.0,1.0,Freaking piano exam today Cannot be bothered
1.0,1.0,"""relaxed, uhh"""
0.0,1.0,Wife got a text from a friend asking if we wanted to go to the preview of Transformers II in Leicester Square tonight. She replied 2 late
1.0,1.0,trusty
0.0,0.0,how old is she?
0.0,1.0,Dogs were utterly unperturbed by the rain on the bonnie banks but so were the midges. Couldn't stay URL
1.0,1.0,"""It's true that actions speak louder than words, and super positive people know it. They also know that words are powerful and can be used to make a significant impact in the lives of others. Therefore, they carefully use the power of words to create genuine connections and lasting relationships with people in their professional and personal lives. You can easily spot super positive people by the way they carry themselves and by the way they speak."""
1.0,1.0,that's nice
-1.0,1.0,I feel very disappointed for whoever left that behind
-1.0,-1.0,this image makes me feel cautious and
0.0,0.0,Let me just write that down.
1.0,1.0,Good Morning.
-1.0,1.0,cheaply
-1.0,-2.0,Nobody liked the picture.
-1.0,1.0, U_M my bad party on
0.0,1.0,That's a real article ? Oh [NAME]
-1.0,1.0,I keep forgetting
0.0,0.0,watching cheer on netflix.
1.0,1.0,good morning germany Today I will go to the open air with friends
0.0,0.0,i am cold
1.0,1.0,beautifully
0.0,0.0,picnic sets on assembly
1.0,1.0,wish
0.0,1.0,I haven't
0.0,1.0,who do you work with
1.0,1.0,robust
0.0,1.0,Bob roughly has any idea about it.
0.0,1.0,The Mid Morning Blend. URL
0.0,0.0,How long does a sprained knee take to heal?
1.0,0.0,Fairly
-1.0,1.0,Not true for a lot of people but [NAME]
1.0,0.0,"""Eh, keep it here. There's plenty of need for content that isn't about politics or antisemitism. Food is fun for everyone to talk about."""
1.0,1.0,courteously
-1.0,0.0,I feel a bit guilty
0.0,1.0,What is it that's confusing you.
1.0,1.0,picturesque
0.0,1.0,how can you assist
1.0,1.0,complementary
0.0,0.0,at work
0.0,1.0,maybe I did
-1.0,-2.0,I don't see much reason for it even as a 2nd.
1.0,1.0,canny
1.0,1.0,"""I was never a [NAME] guy, though he was CERTAINLY my 2nd choice. But I deeply love and empathize with this """
-1.0,1.0,I missed what you said what was that
0.0,1.0,I did not
-1.0,1.0, U_M bad news text me
1.0,1.0,au fait
0.0,0.0,i havent blogged
0.0,1.0,"""You can usually simplify sentences like these by replacing the double negative with a positive, all without losing the meaning. Instead of, """"The evidence is certainly not irrefutable,"""" you can say, """"The evidence is refutable."""" Remember that """"positive"""" here refers to stating what something is, whereas """"negative"""" refers to stating what something is not."""
0.0,1.0,He ain't never told no lies.
0.0,1.0,"""Wait, they're not? *looks closer* Huh."""
-1.0,1.0,You are more disappointing than an unsalted pretzel.
0.0,1.0,yeah I spoke to someone else before
-1.0,0.0,ouch headache
-1.0,-2.0,Please don't promote your channel
1.0,1.0, U_M Great answer and quick wit! You're good!!
-1.0,1.0,too bad
0.0,1.0,T-shirt and basketball shorts
1.0,1.0,I'm fine thank you
0.0,1.0,can you tell me about son's salesperson
-1.0,1.0,is this on?
-1.0,0.0,a little sad
1.0,0.0,uhh not very much but pleased and I guess mildly happy
0.0,1.0,An experiment.
0.0,1.0,PERSON_NAME at bancabc
0.0,1.0,do you do any entertainment
0.0,1.0,Don't think this was posted yet
0.0,1.0,He is not rarely a visitor at the park.
-1.0,-2.0,yeah I don't think it's a good idea
1.0,1.0,amenable
0.0,0.0,No milk in this coffee
0.0,1.0,yeah I think
1.0,1.0,finely
1.0,1.0,gallant
1.0,1.0,considerate
0.0,1.0, U_M Hmm. Okaay. Hehe. I wanted to watch you watch Top Gear hehe&lt;33
0.0,-2.0,Ive got no followers here
1.0,0.0,clean
-1.0,1.0,mistake
0.0,1.0,PLEASE
1.0,1.0,photo was taken so I think it's cool it's interesting yeah
-1.0,1.0,makes me feel sad and concerned and worried about the dog
1.0,1.0,I'm doing well how are you
1.0,neutral,neutral fine happy
1.0,1.0, U_M ohh thats cool so what r u doing today??
0.0,-2.0,enough logo
-1.0,-2.0,no good news
1.0,1.0,and quite content
1.0,1.0,I kinda think that I like this sort of thing.
1.0,1.0,good and they're colour-ly
0.0,0.0,im just a newbie here
1.0,1.0,distinctive
-1.0,1.0,what are you here for
1.0,1.0,Pleased to meet you. Hope you guess my name.
0.0,1.0,Sac and Fresno. This summer I'm headed to Concord and Irivine How about you?
0.0,1.0,what is a digital brain PERSON_NAME
0.0,1.0, U_M I wanna go tonight are you going on friday?
1.0,1.0,not in a bad way
-1.0,1.0,falsely
0.0,1.0,what's the weather
1.0,1.0,prolific
-1.0,unclassified,unfamiliar
0.0,1.0,what are the other themes
1.0,0.0,I like how they're not facing each other.
1.0,1.0,Fast delivery!
-1.0,0.0,just annoyed
