,Anonymized Message,Avg_Valence,Avg_Arousal,Valence_Scaled,Arousal_Scaled
47,florida virtual school sux ass,2.0,4.0,-1.0,-1.0
48,Finally got a working phone again....and its nice!,7.0,5.5,1.0,0.0
49,"After a discussion on the environment and our natural world (that we're destroying) a 7 year old raised her hand with something to say.,Well",4.0,3.0,-1.0,-2.0
50,"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",5.0,2.5,0.0,-2.0
51,"she shld win the new zealand award for miss blob\ i love you dad hahaha\""""",6.5,4.5,1.0,-1.0
52,"How can a cell phone that can hold tons of pictures claim that the texting inbox is full\ at under a hundred short text messages?\""""",3.5,3.0,-1.0,-2.0
53,"Thanks for the B-day wishes everybody! I had a great day...Saints mopped the floor with the Giants(5-0 Woo, Hoo!), then we had sushi! Who could ask for more?!",8.0,7.5,1.0,1.0
54,Drank some KC Tea last night. Pretty good!!,6.5,6.5,1.0,0.0
55,cause she is an american ggggiiiirrrlll!!!! got to give it up for tom petty,6.0,7.0,1.0,1.0
56,is starting my first night at my new job tonight.............I'm so happy!  :),8.5,7.0,1.0,1.0
57,"yea, JETS.. shut up",4.5,3.0,-1.0,-2.0
58,is fixin' to have a party this halloween.,5.5,1.5,0.0,-2.0
59,I have had a amazing day. Thanks for your encouragement <PERSON>. I am on fire. I then got to go to a christian concert in Sedalia to see <PERSON> he sings my savior lives. There was also <PLACE> Weave and it was life changing and wonderful and I am so thankful and blessed.,7.5,4.0,1.0,-1.0
60,an edition of 14 was completed today... that was nice. :D  Now just one more edition of 5.  But for now: shower time then Symbolic Logic time... yeesh....,6.0,3.5,1.0,-1.0
61,So ive learned that things are weird not a bad  weird but a good weird,6.5,2.0,1.0,-2.0
62,I think I have spent more than 90% of time for others and less than 1% for myself. And slowly I am realizing that almost everyone in this world has almost the same statistics. It feels good as I am not the only victim but it also compells me to think if this is the ideal way of living life!,4.5,5.0,-1.0,0.0
63,Someone should make a <PERSON> Facts website to compete against Chuck Norris.,5.0,1.5,0.0,-2.0
64,"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",2.5,3.5,-1.0,-1.0
65,"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",2.5,3.5,-1.0,-1.0
66,A life of wisdom consists of being constantly engaged in letting go,5.0,1.5,0.0,-2.0
67,"i honestly never saw the enjoyment in watching people do physical activity, such as play football, who cares?",4.0,3.5,-1.0,-1.0
68,"Oh, looks like we're going to have to draw some... STRAWS.",4.5,4.5,-1.0,-1.0
69,I have no patience... hahaha....,5.0,3.5,0.0,-1.0
70,,6.0,2.0,1.0,-2.0
71,"Dogs are fantastic. Chester farts, then gets up and runs out of the room and leaves me to deal with it.",5.0,2.0,0.0,-2.0
72,TOTP this sat,5.0,2.5,0.0,-2.0
73,fun in the sun!!,7.0,7.0,1.0,1.0
74,Has Anyone Else Realized That The People On Family Guy Only Have 4 Fingers?,5.0,3.0,0.0,-2.0
75,sooo tierd,4.0,3.0,-1.0,-2.0
76,.--. Put this dog on .//^ ^\\\\ your profile (/(_ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢_)\\) to show ._/''*''\\_ that you are (/_)^(_\\) against animal cruelty,5.0,3.0,0.0,-2.0
77,: Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working,6.5,2.5,1.0,-2.0
78,"I'm hoping to go to the zoo and Great wolf....I hope I can, I hope I can......................",6.0,3.5,1.0,-1.0
79,patiently waiting out the days,4.5,1.5,-1.0,-2.0
80,"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",5.0,2.0,0.0,-2.0
81,<PERSON> thinks its funny to stick his fingers down his throat and make himself vommit.....,4.0,3.0,-1.0,-2.0
82,Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.,5.5,1.5,0.0,-2.0
83,6 hrs until mid night release for black ops.,6.0,1.5,1.0,-2.0
84,wow so many people from school have found me lately. i'm really happy that they even remember me. i miss you guys,7.5,4.5,1.0,-1.0
85,"Happy bday to my angel <PERSON>...I miss you and love you. See you soon...\""""",7.5,5.0,1.0,0.0
86,"Yay~ going to Ontario Mills with <PERSON> and <PERSON> For her birthday~ >u< Pfftt but she's late, as I expected... =3=#",7.0,5.5,1.0,0.0
87,"not exactly a magical birthday being the first day of <PERSON> and yardah, yardah, yardah...birthday messages definitely cheered me up though! :D",4.5,5.0,-1.0,0.0
88,has nothing on her mind.,5.0,1.5,0.0,-2.0
89,This Iz ReAL,5.5,2.5,0.0,-2.0
90,"<PERSON> 40:31        But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",6.0,1.5,1.0,-2.0
91,"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3.0,4.5,-1.0,-1.0
92,DOG FAIRFAX COUNTY BET NOT FAKE i aint trynna have no skool dough,4.5,4.5,-1.0,-1.0
93,"There is no greater gift you can give or receive than to honor your ,calling. It's why you were born. And how you become most truly alive.",6.5,3.0,1.0,-2.0
94,Im cool like ****,6.0,2.5,1.0,-2.0
95,Loves pizza..,6.0,2.5,1.0,-2.0
96,how many times do i have to mistreat you constantly biting my hands as i feed you ?,3.5,3.5,-1.0,-1.0
97,Just got accepted into the kitchen manager program...with a baby on the way...what to do? what to do?...,4.0,5.0,-1.0,0.0
98,"First day in school with for course taken in six hours and Mass hearing by 5:00 to 6:00 pm then followed by the first talk in singles for christ The Love of God\. I maximized my time to accommodate all my activities""",5.0,2.5,0.0,-2.0
99,"Anyone who knows anything of history knows that great social changes are impossible without feminine upheaval. Social progress can be measured exactly by the social position of the fair sex, the ugly ones included.  <PERSON>",5.0,3.5,0.0,-1.0
100,holy fuck its supposed to get up to the 90s for the weekends :P,5.0,6.5,0.0,0.0
101,Can someone remind me of what summer feels like again?,4.5,2.5,-1.0,-2.0
102,Yay! It's friday!,7.0,7.0,1.0,1.0
103,conspiracy theory. My land lord thinks I'm stilling light bulbs from my own house. How can they go bad he asked me. Hum let me think. He's right light bulbs never go out. What was I thinking. So any way hit me up if you need a light bulb. I have so many. And maybe I can even get you a magic bulb that never needs replacing. O MY GOD,3.0,4.5,-1.0,-1.0
104,"Christmas is almost here!!! Jesus was born 2,010 years and 341 days ago... PRAISE JESUS!!!",8.0,7.5,1.0,1.0
105,Being sick sucks.,3.5,3.5,-1.0,-1.0
106,P-A-R-T-Y !,6.5,6.5,1.0,0.0
107,Just got my new cell phone yesterday text meh :D <PHONE>,6.5,4.0,1.0,-1.0
108,"It finally cooled off enough to open the windows and cool off the house before bed. However, a skunk has decided to do his stinky business outside. Eww. Bad skunk. Bad.",4.0,3.0,-1.0,-2.0
109,<PERSON> is fat. =] Very Fat,5.5,3.5,0.0,-1.0
110,Shh Did you hear that! OMG it's calling me -.yep my bed is calling.. night all sweet dream..Zzz,6.0,4.5,1.0,-1.0
111,"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",3.0,6.5,-1.0,0.0
112,Black hats sideways white bold LA,5.0,2.0,0.0,-2.0
113,Gone to the Greenway for a 2.5 mile run!,6.5,5.0,1.0,0.0
114,"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",6.5,2.0,1.0,-2.0
115,I am now officially a certified personal trainer,6.0,2.5,1.0,-2.0
116,I bought megaman 10 for my wii.  It's the hardest game ever T^T,4.5,2.0,-1.0,-2.0
117,"20 years ago, on a night just like tonight....road called roller coaster...",5.0,1.5,0.0,-2.0
118,"I feel like I should clean the house, so I am going to lay down until the feeling passes...:P*",5.0,2.0,0.0,-2.0
119,did'nt realise how bad a dead leg could be.... 4 days.. and its still as bad as day 1....WTF,3.5,4.0,-1.0,-1.0
120,Wow-so many bday wishes continue to come-thanks so much everyone!...and I have to give a shout out to the BEST sous chef working to prepare us an awesome dinner at the Hyeholde in Moon-Amy Hebster's man-<PERSON>!!,7.5,6.0,1.0,0.0
121,I GOT DEM BRAIN DAWGS!,6.0,8.0,1.0,1.0
122,"PHONE NUMBERS IS NOW ON FACEBOOK!! NO JOKE... Go to the top right of your screen, click Account then Edit Friends. Go to the left side of your screen and click Phonebook. Everyone's phone numbers are now being published. Please repost to let your ...friends know this is happening so they can remove their        number..        SCARY STUFF",4.0,7.0,-1.0,1.0
123,every Catholic should look-up this Poem. Audrey Assad got her insperation for her single 'For Love Of You from this Poem: As King Fishers Catch Fire -Gerard Manely Hopkins,5.5,1.5,0.0,-2.0
124,Wow... Dad. Awesome moment of my teenage life? I think it falls in there. Thanks! =],7.5,4.5,1.0,-1.0
125,fell in2 a muddy brook,4.0,2.0,-1.0,-2.0
126,When you know who you are and who's you are then you don't have to respond to negativity. Let the Lord fight your battles. He can do it way better than you can. Trust in the Lord and lean not to your own understanding. Self-check.,5.5,2.5,0.0,-2.0
127,One CRAZY ASS day glad its over...,4.0,5.0,-1.0,0.0
128,"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",3.0,3.0,-1.0,-2.0
129,"There is a chicken and an egg in bed, chicken has head on pillow and is smoking. Egg rolls over annoyed and saysi guess we answered that question.\\""""",5.0,1.5,0.0,-2.0
130,I am bored,4.5,1.5,-1.0,-2.0
131,Making love with my ego.,5.0,1.0,0.0,-2.0
132,feels tight literally!,5.5,4.5,0.0,-1.0
133,You guys are great.,7.0,3.0,1.0,-2.0
134,Feel knackered but great couple of days with the best company. <PERSON> as always great show great guy! Role on next gig,6.5,5.0,1.0,0.0
135,I got this for sure!,7.0,6.0,1.0,0.0
136,"tHANk U EVERy1 4 All tHE HAPPy BDAyS . i HAD fUN , DiNNER N a MOViE tHANkS BABE .",7.0,4.5,1.0,-1.0
137,IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,2.5,7.0,-1.0,1.0
138,"I accept full responsibilty for the all the wrong I've done,If you thought I was perfect,I apologise for being human ,But never again ,You can put my life on that",3.5,3.5,-1.0,-1.0
139,Make New Year's........like a fuckin' Catalina Wine Mixer!!!!!,7.0,8.0,1.0,1.0
140,You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,5.5,2.0,0.0,-2.0
141,<PERSON> going with <PERSON> today is like going into a gun fight with a spoon. LETS GO YANKEES!,6.5,6.5,1.0,0.0
142,if you need to ask if you are full time... you are def not full time yeaaaaaaaaaaaaaa yeahhhhh,4.0,4.0,-1.0,-1.0
143,"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",5.0,2.0,0.0,-2.0
144,"Playing guitar, hanging with pals: walking on air is the life.",6.5,2.5,1.0,-2.0
145,":will be afk for the weekend, wet weather camping is a skill we should all have!",6.5,5.0,1.0,0.0
146,Thanks for the prayers :),6.5,4.5,1.0,-1.0
147,I was working at grad night the intire time and i've had 3hours of sleep!,4.0,5.5,-1.0,0.0
148,do i have DOORMAT written on my forehead...?   =/,3.5,4.0,-1.0,-1.0
149,"When you've been blessed it feels like heaven!\\""""",6.5,6.0,1.0,0.0
150,"life's confusing... sometimes you feel happy, sometimes you feel sad... sometimes you're sad because you're happy... that's just so damn retarded...",3.0,4.0,-1.0,-1.0
151,LOL how true 'Urban Dictionary' <PERSON> buy <PERSON> mugs,5.5,4.0,0.0,-1.0
152,"I wish <PERSON> would phone or email me. He should be in Seattle by now, he's been gone almost a week and not a word. :(",3.0,4.5,-1.0,-1.0
153,my son <PERSON> baked me a birthday cake last night all by himself and everyone sang Happy birthday to me....I felt the love! Today the weather is so beautiful...is it really November 7th? Feels like spring out!,8.5,7.0,1.0,1.0
154,Ouch.....my head,3.0,3.0,-1.0,-2.0
155," Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\""""",4.5,1.5,-1.0,-2.0
156,BYE EVERYONE FOR 3 WEEKS I AM GOING TO ARMENIA BABY SEE YOU GUYS LATER,6.5,7.5,1.0,1.0
157,is touched by all the birthday wishes. THANK YOU ALL!!!!!!!!!!!!!!!! XOXOXOX  My smile is so big it can split my face !!! :))))))))))))))))),8.0,8.0,1.0,1.0
158,"Had a LOOONGG but great day at work... now its time to sit back and relax the best way i can ,)",8.0,4.0,1.0,-1.0
159,One mo gen upportin one of ma boyz as they take dat plunge BEST WISHES <PERSON> AND <PERSON> Im honored to stand with you as you embark on the next chapter in your life.  LOVE YOU GUYS LIKE A PLAY COUSIN!,7.5,6.5,1.0,0.0
160,........,5.0,2.0,0.0,-2.0
161,workin 7 days a week is good for tha $ but like i wanna go catch a flick ya kno! insted of just workin and catchin some drinks afterwards! ya kno...lol who wants to go with me! i gonna try to get a day off this or next week,6.0,4.5,1.0,-1.0
162,There's apart of me that really misses other worlds...and longs to live in one of them right now.,3.5,3.0,-1.0,-2.0
163,holy shit monday night was amazing,7.0,5.0,1.0,0.0
164,"rest in peace <PERSON>. you were my first love, you will always hold a very special place in my heart. you will be in my thoughts and prayers. i miss you <3",5.5,4.0,0.0,-1.0
165,What does time mean to you? How would you define it?,5.0,2.0,0.0,-2.0
166,Stayed up till 4 last night playing overlord raising hell. how i do not know,5.0,2.0,0.0,-2.0
167,"If a doctor removed you still-living brain moments before you died, and kept it alive with a tank of fluid enriched with blood, and finally transplanted your brain into a patient whose own brain was severely damaged..which home would the patient return to.. yours or theirs?",5.0,2.0,0.0,-2.0
168,"After such a long time, I finally get to receive  my package!!! Although I need to declare my medical status, I don't  need to do any medical checkup!! WOOTS !!! :D",7.5,8.0,1.0,1.0
169,"if faith is a choice then it can be lost for a man, an angel, or the devel himself. God gave us a choice, he didn't comand us. he gave his love to all of us. i pray that all won't lose faith, hope, or love and won't give up, but to fight and defend the weak who are in need. the choice is yours don't lose it.",6.5,3.0,1.0,-2.0
170,OH EM GEE I LOVE MY SISTER <PERSON> SO MUCH! I WISH I WERE AS COOL AS HER!!!!!!!!!!!!! LIKE I CANT EVEN BELIEVE THAT I AM SO LUCKY TO HAVE HER AS MY SUPER DUPER AWESOME BIG SISTER!!!!!!! :DDDDDDD,8.0,9.0,1.0,1.0
171,JELLYPUSS....,5.0,4.5,0.0,-1.0
172,RAMADAN MUBARAK TO ALL,6.0,6.0,1.0,0.0
173,i wish i could run into all my friends that i used to have here in windsor although that was in the sixth grade lol,6.0,4.0,1.0,-1.0
174,Wow what a game Boston could have had it but Lakers took it.,5.0,3.5,0.0,-1.0
175,Wow! Fun wedding =P Congradulations <PERSON> and <PERSON>!,7.5,6.5,1.0,0.0
176,At last :),6.5,4.5,1.0,-1.0
177,is ready to go :-)),6.5,4.5,1.0,-1.0
178,yayy! electric guitar!!,7.5,7.0,1.0,1.0
179,"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best",4.5,4.5,-1.0,-1.0
180,Looking for more team mates please send me an invite,5.0,1.5,0.0,-2.0
181,Getting ready to go to Graduation.  So prpud of you Jess. We love you,7.0,2.5,1.0,-2.0
182,Rest In Peace <PERSON> I Will Never Forget You.,4.0,2.0,-1.0,-2.0
183,... just signed the lease! Officiallly living with my girl <PERSON> for next year! yayyy!,7.0,6.5,1.0,0.0
184,Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,3.5,2.0,-1.0,-2.0
185,"Life is full of fake peoplBefore you judge them,make sure you are not one of them.",3.5,3.5,-1.0,-1.0
186,"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",3.5,3.0,-1.0,-2.0
187,CARE TO BE MY NEW FRIEND?,5.0,5.5,0.0,0.0
188,"listening to In the Hall of the Mountain King, Perpetuum Mobile- a Musical Joke, and some hard core Mozart.... real music doesn't rely on words to show emotion!",6.0,5.0,1.0,0.0
189,Goin Home after a Year today :),6.5,5.0,1.0,0.0
190,Talked to Banky today. That was a surprise. He sounded really good and he sounds really focused for when he comes home. Slow day at work,6.0,3.0,1.0,-2.0
191,Got an E75 today.... awesome phone :),6.5,4.5,1.0,-1.0
192,dnt get scared.... jst missing my.... darling curles....,5.0,2.0,0.0,-2.0
193,Just got my Ipod Touch,5.0,1.5,0.0,-2.0
194,"OH BLESSED DAY!!!!   Getting ready to go out and about for the day, wife says Can we please stop by Gamestop?\  she is finally growing into the gamer I know she can be!!!\""""",6.5,8.0,1.0,1.0
195,Hmmm work on A) Solo and Ensemble B) Debate C) Chess or D) Academics? I pick E) Facebook and Xbox! (:,6.0,3.5,1.0,-1.0
196,"is fed up of searching for info on The Man Who Knew Too Much\. Can anyone help?\""""",5.0,3.0,0.0,-2.0
197,"Thanks for all the B-day wishes.  Unfortunetly, I've been sick since then.  But I'm better now and just in time to leave tomorrow for PUERTO RICOOOO!!!",7.0,6.5,1.0,0.0
198,"The moment your dreams become a reality, is the moment you know you're finally living!! Any other experience is just ceasing to exist....",6.0,4.5,1.0,-1.0
199,Since im stuck in Morgantown....alchy-cider sledding,5.0,2.0,0.0,-2.0
200,"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",3.0,4.0,-1.0,-1.0
201,going home today the kids were great this weekend god i never knew how much i rlly missed them i wish they never had to go back. i love you <PERSON> and <PERSON> i wish u guys would never grow up. i<3 <PERSON>,7.5,4.5,1.0,-1.0
202,Life is full of surprises n suspenses [ :)]..... but sometimes it's unbearable :(,4.0,4.5,-1.0,-1.0
203,trying to figure out how to work this thing hopefully i get it.,4.5,2.0,-1.0,-2.0
204,thanks to everyone who wished me a happy birthday you are all amazing,7.0,3.5,1.0,-1.0
205,:),6.5,3.0,1.0,-2.0
206,My birthday is tomorrow!!!! so excited,7.5,7.0,1.0,1.0
207,"I am glad I am feeling better I am ready to go back to work I have lived on the phone and computer all day in my Pjs ... Only bad thing is i moved some of my accounts to Sat .. so now I have to work over the weekend and my daughter is bugging me to go to a dog show and I can't ,, Or I may not have my accounts  ):",4.0,2.5,-1.0,-2.0
208,thanks for the birthday wishes everyone!!!,7.0,6.0,1.0,0.0
209,Summmerrrsss baaaccckkkk!!!! God i missed fb!!!,7.0,8.0,1.0,1.0
210,"if theres a fat guy in a pastry shop with a twenty dollar bill and he's ready to buy, in order to predict his volume change you need to know the value of pi",5.0,2.0,0.0,-2.0
211,"I think <PERSON> is obsessed with me, and that is just weird....        jk",5.0,2.5,0.0,-2.0
212,Thanks to everyone who said Happy birthday to me.....      (cant wait for March 9) :],6.0,4.0,1.0,-1.0
213,Is anyone having a Halloween party on Halloween,5.0,1.5,0.0,-2.0
214,Coffee!!!,6.0,6.0,1.0,0.0
215,Time to log off ...,5.0,1.5,0.0,-2.0
216,Kinda upset at a couple friends but I might have a job so they aren't that important. Are they?,4.0,3.5,-1.0,-1.0
217,Yay!!! Uni is finally finished for the year :) hello three months off :),7.0,7.5,1.0,1.0
218,"If you are avoiding me just because your being teased, it might mean that you are a coward. You never faced the words thrown that are against your will. But I will never get angry at you because you are still stuck somewhere in my heart where i might not find you for years. I will wait for you to come near me and say something to me. I would be glad to hear it from you, ****** :) :) :) Happy Valentines Day!!",5.5,4.5,0.0,-1.0
219,"Let it snow, let it snow!",6.5,4.0,1.0,-1.0
220,"They may want to take Christ out of Christmas, but they can never take Christ out of me. If you are not ashamed of Christ then post this as your status for 1 day as a light to the world. Most people will be to ashamed or scared to do this. Remember Jesus Said. Whoever acknowledges me before men",4.5,4.5,-1.0,-1.0
221,Why is it always so hard... and hurts so bad...,2.5,3.0,-1.0,-2.0
222,Make a good life for yourself because no one is going to do it for you! :),6.5,5.0,1.0,0.0
223,"Over the past 50 years <PERSON> employed 88 joke writers who supplied         him with more than one million gags, and he still couldn't make me         laugh.",4.0,3.0,-1.0,-2.0
224,answered a question on Friend FactsÃ¢â€žÂ¢,5.0,1.5,0.0,-2.0
225,good luck to everybody with exams *prays*,6.0,1.5,1.0,-2.0
226,Ain't the world very confusing ? or am I retarded !?,4.0,4.5,-1.0,-1.0
227,Life is a matter of choice. Why do I often make decision and in the meantime feel that I have to be responsible for what I do not choose??,3.5,5.0,-1.0,0.0
228,likes hammering nails more than weeding paths,5.0,2.0,0.0,-2.0
229,"mistakes will always come back and haunt yooou.  i regret something for the first time in my liffe, i hate this feeeeling.  <3",3.5,3.5,-1.0,-1.0
230,The Walking dead television pilot will commense filiming May 15th 2010. FUCK YES,6.5,7.0,1.0,1.0
231,"Started work, makin bank!",6.5,5.5,1.0,0.0
232,"2 missed FG's, dammit!!! Still like <PERSON> though any kicker that gets in bar fights is cool with me, but seriously make those FG's!",4.5,6.5,-1.0,0.0
233,"Damp again this morning, maybe the angry old lady will let us paint in the dew today instead of sending us home, but I doubt it.",4.0,3.5,-1.0,-1.0
234,ok... just finished reading the latest bleach manga. so <PERSON> still plans to milk bleach even more by starting a new arc. I wonder if <PERSON> would start from scratch again here? it also looks like <PERSON> would have a bigger role.,5.0,1.5,0.0,-2.0
235,Cant wait until June 12,6.0,4.0,1.0,-1.0
236,"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",3.0,4.5,-1.0,-1.0
237,Is all set for tomorrow :D i am so excited :),6.5,7.0,1.0,1.0
238,Stupid Frontierville bear scared my cat and it clawed me -.-,4.0,4.5,-1.0,-1.0
239,loui is great  in bed,6.0,2.0,1.0,-2.0
240,<PERSON> Shortall <3,6.0,2.0,1.0,-2.0
241,My friends are going back home!!! I'll miss you guys so much!!! :((,3.0,7.0,-1.0,1.0
242,Shout outs to <PERSON> and bro for getting me to airport early-- they're axing the last 24 passengers that checked in due to weight restriction! Holy balls,5.5,5.5,0.0,0.0
243,Mrs <PERSON> and i are gonna go shopping!!!,6.5,7.0,1.0,1.0
244,shame on the West Indies :-( good luk for T&T :-),4.5,4.0,-1.0,-1.0
245,is having such a great day!! thanks so so much for all of the birthday wishes/blessings/love!!!,7.5,7.0,1.0,1.0
