Arousal, Phrase
1.0, All this alcohol and no one to drink it with
1.0, All truth
1.0, Alright breaks over time to get back to work
1.0, And in the end
1.0, And Queen
1.0, Another great ole night at taco bell
1.0, anybody alive?
1.0, around..
1.0, As the hart panteth after the water brooks
1.0, babysitting<3
1.0, Be anxious for nothing
1.0, Be Who You Are and Say What You Feel Because Those Who Mind Don't Matter and Those Who Matter Don't Mind. -- Dr. Seuss
1.0, bed
1.0, bed time nite world
1.0, best nap ever.
1.0, Blank
1.0, blueberry
1.0, Bmx starts next week.
1.0, Boiling pasta
1.0, bored
1.0, bored has no life and is want to go do something
1.0, bored out of my mind
1.0, bout to put one in the air
1.0, Busy day tomorrow should probably start my homework
1.0, can't find any better profile pictures than this.
1.0, Checking my salad for messages
1.0, Chips
1.0, comin home on the 10th
1.0, Consumed by anger.
1.0, Crocs
1.0, cs61a blows my mind every week.
1.0, Customer: I want a hot fudge sunday
1.0, Do I look like Shaggy?
1.0, does anyone know about the head start program for kids ?
1.0, Done did work.
1.0, Dragonica Bugtrap. _|_
1.0, every one press up up down down left right left right B A enter up down then circles will appear on your facebook page to get them off refresh page
1.0, F64 echipament foto-video <URL> by using the above link you will benefit of a 2% discount on all your orders
1.0, fixing to have the best weekend in the world
1.0, flying back to bangkok for a shoot...
1.0, Football V.S. Moniteau tommorow
1.0, Gain Muscle and Maintain    Bodyfat Level                              Current Weight            Calories            Protein
1.0, Goin fishin tomorrow.
1.0, Gonna clean out my car today... maybe they will take it as a trade in later this week.. maybe not
1.0, Good Morning w/ a head ache.
1.0, Goodnight.
1.0, got a gun pulled on him last night
1.0, Got court tomorrow wish me luck
1.0, gudnyt everybody
1.0, had a fun night
1.0, has anyone taken the history finals?
1.0, has been a subject to a lot of policy routing on the way home due to flooding caused by a heavy rain. Policy routing was implemented by cars with blinking blue lights standing 90 degrees to the direction of the road.
1.0, Has the hiccups
1.0, Heard blues by the bay from my house... Did a ton of laundry. Did a dump run.. And went to my moms and stacked wood. Now i'm helping fold 10baskets of cloth.
1.0, hi
1.0, hi
1.0, Homework
1.0, how are you
1.0, How is everybody today?
1.0, I am my sisters keeper.
1.0, i dont know what to wrtie in the box
1.0, i got an itouch
1.0, I got the cops outside and the game on tv what to watch
1.0, i have 4 tickets to the lancer hockey game on sat
1.0, I have a problem - f(x) = exp(((log(((((a^2) + 1)*((x / (f * 100)).^(2*e))+(b^2)))) - log(((1/(d^2)) - (((a^2) + 1) - 1)))) * (1/(2*e))) + (log(1/c))) * 100
1.0, I like Artest.
1.0, I like it on the floor
1.0, i like it on the kitchen counter
1.0, i like it on your moms bed
1.0, i like your beard
1.0, I like your hips
1.0, I love life
1.0, i love mcdonalds
1.0, I need a donkey please and thank you
1.0, I think I have to go back to work tomorrow.
1.0, I want my girlfriend to be with me right now so we can cuddle
1.0, i wasn't the son my father wanted
1.0, i wish there was not any snow outside so i could skate
1.0, I'll add more later.
1.0, I'm a cat.
1.0, I'm gonna have to re-order mw2 from someone else on eBay
1.0, I'm offiicially no longer in beaverton. Good to know you all. No internet now so peace everyone
1.0, I'm selfish
1.0, i'm sleepy
1.0, I've seen Transformers: Revenge of the Fallen 3 times already
1.0, If anyones interested im selling my ps3 eye toy camara for $20 or $25 so yeah. just comment if you want to buy one cause ive got 3 and i need to sell 2.
1.0, If the facts don't fit the theory
1.0, if u bored looking through a page full of hundred torrent listning try <URL>
1.0, If you're interested in joining the Soul Society 000 let me know. Thank you.
1.0, If your life stinks... spray some perfume
1.0, im so good at sleep i can do it with my eyes closedÃ¢â‚¬Å’
1.0, in need of insects cant bye any yeat
1.0, Interesting video for a man with butter fingers.
1.0, is addicted to Dragon Age.
1.0, is at her cousin's house
1.0, is bored and many going to start her science project
1.0, is drinking australian <PERSON>to try how it helps under sleepless
1.0, is gg-ed for the exam nxt week..
1.0, is goin house hunting today.
1.0, is home again
1.0, is in jury duty.
1.0, is making a collage.
1.0, is mozambique today
1.0, is not going to make it to horror movie heros to night.
1.0, is okay about learning more about schizophrenia
1.0, is sick.
1.0, is tired and doesn't want to go to work tomorrow.
1.0, is very hungover
1.0, is waiting for one more week to go by and be back in Murray.
1.0, it is raining
1.0, It's saturday had a horrible friday nite hope today is a better day
1.0, j10oreo = my xboxlive gamertag. see you on the frontlines
1.0, just another day going by
1.0, just got back from livesAblaze
1.0, just got done watching fireworks
1.0, just got my braces put on
1.0, just got some boxes unpacked and is missing ptc
1.0, just had the best weekend
1.0, just received his favorite email of each semester
1.0, last day of 2009
1.0, Last exam tomorrow - Math 9
1.0, lbing
1.0, Life is a hard thing to keep up with.
1.0, life is beautiful
1.0, Light headed.
1.0, Like         this status & I'll answer it honestly 1. When did I meet you? 2. Do         you mean alot to me? 3.What do I think of you? 4. Have I ever gotten         mad at you? 5. Are you nice or mean? 6. WouldI care if I lost you? 7.         Would I date you? 8. Have I ever had a crush on you? 9. Do I enjoy being         your friend? 10. Do I... miss yo...u? 11. Do I love your hugs? 12. Do I like your smile?
1.0, listen to your heart
1.0, live today
1.0, Look at yor future
1.0, looking for something to do this weekend
1.0, Looks as if someone shook the snowglobe.
1.0, Love is the capacity to take care
1.0, love love is a verb
1.0, LYL
1.0, Making love with my ego.
1.0, Making toast at 9:17pm
1.0, may need a little drink in the Jazz bar
1.0, merf
1.0, Midnight In Motion Lyrics Page Complete
1.0, misses stokes already. camp was way too short
1.0, Missing Sarah from Tuesday
1.0, More pics updated
1.0, Mr. Rager - KiD CuDi
1.0, My jobs are interfering with my Lost addiction.
1.0, My profile pic rocks
1.0, My stomach was making the rumblies        <PERSON>     That only hand would satisfy
1.0, needs a copyrighter/translator for a job. Can anyone advise me?
1.0, Never give up
1.0, new music
1.0, Nights like this really make me miss the old days in the bluff
1.0, nite all
1.0, no rain - no rainbow.
1.0, Non-dairy creamer is flammable.
1.0, not looking forward to this.
1.0, now dread free
1.0, one more final to go
1.0, One spliff a day Keeps the evil away
1.0, only a small person carries a big grudge
1.0, out and about
1.0, p.p.s not for the feint hearted
1.0, people on my wall  if you read this please name your favourite tractor
1.0, phone blowed up today need phone numbers please
1.0, Pink Champagne
1.0, playing on the mac book.
1.0, please help with barn  raising <URL>
1.0, poo
1.0, ps the purple thumboxer
1.0, quesadillas (is that even how you spell it)
1.0, R.I.P.<PERSON>
1.0, Rafael Van Der Vaart is keen on joining United.
1.0, reading Siddhartha
1.0, Relationships are like glass. Sometimes its better to lev them broken than try to hurt yourself putting it back together
1.0, Reliving his childhood
1.0, Shades of Grey
1.0, should be looking for a job right now.
1.0, sick of being alone
1.0, size matters not
1.0, Sleepy
1.0, so bored
1.0, so does anybody know anything about the haunted house in Alpharetta that will give you 1000 dollars if you make it to the top floor? it's 13 stories
1.0, So I had to replace my damaged phone with a new one and lost a few more recent phone numbers so if you have my number send me a text with whom you are plz  thank you
1.0, Someone remind me to upload a photo or two
1.0, sometimes people put up walls
1.0, soothing jams penetrating my eardrums.
1.0, starting school next month
1.0, Teen mom 2 is obnoxious.
1.0, Thank you
1.0, thank you
1.0, Thanks again everyone
1.0, Thanks everyone
1.0, thanks everyone
1.0, thanks for all the b-day wishes
1.0, The heart is the only broken instrument that works .
1.0, The only courage that matters is the kind that gets you from one moment to the next. ~Mignon McLaughlin
1.0, There is an eerie calm that fills the air right before a hurricane hits. That's what school felt like today. It's very strange.
1.0, thinking at charity cup
1.0, this is how you remind me
1.0, This is my one and only life
1.0, this newport taste like a cheeseburger
1.0, three wonderful years of fatherhood
1.0, Tinychat time! Click the link to come me - <URL>  (tinychat.com)
1.0, Today is paintball day time for more pics and pain
1.0, today it snowed
1.0, trevwon't go too bed
1.0, Trying to clean up my account now.
1.0, tune into 87.7 on the radio tomoro to hear mine and aqils show
1.0, Unlimited Rage.
1.0, Varsity Athlete
1.0, visited Vanderbilt this weekend. It was interesting and gave me a lot to think about.
1.0, waiting
1.0, wants to go back to school
1.0, Watchhin Pregency Pact
1.0, Watchin the ACLS. I love baseball.
1.0, watching fantacy factory and resting from a long day.
1.0, watching my dog. anyone wanna do anything tonight?
1.0, we would get a foot of snow the year i decide to get dish
1.0, wet dogs smell
1.0, What do you know? The first post I see on MLIA is about Harry Potter. MLIA.
1.0, What's on your mind?
1.0, What's on your mind?
1.0, Whats the theme of the cartoon pics?
1.0, When one door closes
1.0, Which additude gets you what you want the best? Vinager or honey.
1.0, Who watched the video
1.0, Why do people still post statuses in the 3rd person?
1.0, won 20 dollars from a 1 dollar lottery ticket and I plan to use it for food.
1.0, wondering which of the 4 movies I hire to watch first        1. The New Daughter (Thriller) - Kevin Costner        2. Crazy Heart (Drama) - Jeff Bridges & Maggie Gyllenhaal        3. The Bounty Hunter (Action) - Jennifer Aniston & Gerard Butler        4. Cirque Du Freak: The Vamipire's Assistant (Family) - Willem Dafoe & Salma Hayek
1.0, Workin out my faults one at a time.Makin progress
1.0, would love to go back to bed.
1.0, Writing about an idea frees me of it - <PERSON>
1.0, Yes
1.0, you just killing me inside
1.0, You look into the mirror  of Erised.  What do you see?
1.0, Your thoughts maketh your world.
1.0, zzzzzzzzzzzzzzzzzzzzz
1.0, Ã¢â‚¬Å“A child's life is like a piece of paper on which every passerby leaves a mark.Ã¢â‚¬Â -Chinese proverb
1.0, Ã¢â‚¬Å“You have indeed in the Messenger of Allah (swt) a beautiful pattern (of conduct)Ã¢â‚¬Â¦ (33:21)
1.5, " Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\"""""
1.5, " there is no such thing as conditional love. Love is either unconditional or it's no love \\"""""
1.5, ", with the help of his friends, one <PERSON>, and super reggae artist Snow, had one of the best birthdays in history."
1.5, "...know that having a good time can include learning and growing, and that there is joy in creating and succeeding..."
1.5, "10:26, man, iv been up a toltal of 31 hours, im way high an way tierd, talk to meh, he... <URL>"
1.5, "20 years ago, on a night just like tonight....road called roller coaster..."
1.5, "3 Feb 2010,Today I a bit sick.<PERSON>ask me to go to general office,sickbay to rest.After 1 hour,I return to his lesson."
1.5, "7 more months and im jobless, homeless and happy."
1.5, "<PERSON> 40:31        But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint."
1.5, "<PERSON>, <PERSON> Please Hurry Up And Come. So Mommy Can Fit Inbetween The Counter And Refriderator"
1.5, "<PERSON>at age 3 yrs has graduated from calling me mommy\ to calling me \""mom\"".  \""mommy\"" is for babies.\"""""
1.5, "<PERSON>is very happy about her drawing tonight(see new profile pict) If you want to see it clearer check out my deviant page, it's driscoln-me. (Oh and do it fast because i might ruin it when i try color"
1.5, "A huge lesson for me was that if I was gonna be successful, I had to be successful as myself - I couldn't be successful doing what other people were doing. I had to do what I believed in and what felt real to me and felt true to me, because the worst thing to be is successful as someone else. - Jay-Z"
1.5, "A pessimist sees the difficulty in every opportunity, an optimist sees the oportunity in every difficulty"
1.5, "A still more glorious dawn awaits        Not a sunrise, but a galaxy rise        A morning filled with 400 billion suns        The rising of the milky way   <PERSON>"
1.5, "A-Team Football: Knox 26, McCullough 0."
1.5, "after one week at guitars, im now the top bar top bar back, not too shaby"
1.5, "All intelligent people should be cremated for reasons of public security.--The Amazing Screw On Head, and the show that really should have gotten onto Sci Fi."
1.5, "An American classmate who was learning Tagalog told the taxi driver, Ã¢â‚¬Å“Manong, pwede kant*t?Ã¢â‚¬Â (what he wanted to say was for the driver to drop him off at the corner)"
1.5, "another week, another paycheck its nice to have a income but nicer if I could spend it."
1.5, "At last, the sun is beginning to set later.  4:43 yesterday; 4:44 today."
1.5, "at my new house trying to paint, fun stuff"
1.5, "back at home, and back to reality...."
1.5, "Be careful who you fall for,you may just be help with the bills."
1.5, "Before you criticize someone,	 you should walk a mile in their shoes. That way, when you criticize 	them, you're a mile away and you have their shoes."
1.5, "Before you embark on a journey of revenge, dig two graves."
1.5, "Beginning of August, and the Tigers are in their usual second half of the season death spiral.  Turned off today's game at 12-1 in favor of the Sox"
1.5, "Change your default facebook picture to a cartoon character from your childhood. The goal? To not see a human face on facebook until Monday the 6th of Dec. Join the fight AGAINST Child Abuse, and invite your friends to do the same"
1.5, "Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing. Use the pain as fuel, as a reminder of your strength.Ã¢â‚¬Â"
1.5, "congratulations to all the pc grad , if have joined your faternity as of 10:33 am."
1.5, "Dear friends,        Thank you for your kind wishes. I had as good as a birthday as one could at the ripening age of 24. I sincerely wish for the best for you all.        Best,     <PERSON>"
1.5, "Decided to play along with this Way-Back Week\ picture thing.\"""""
1.5, "Everybodys got something they can give, and that can be prevented by using the dental dam."
1.5, "Facebook has shot down the idea of charging all of its members (the company's COO Sheryl Sandberg in April said, We are not planning on charging a basic fee for our basic services\). But the site may have plans to put a price tag on services"""
1.5, "For my birthday I would like my family (and friends of) to give me one memory of my Dad, no matter how small."
1.5, "Glad to see everyone is finding their families\.\"""""
1.5, "goal number 1, graduate school and get a job:CHECK been there done that. Goal number 2, become fluent in spanish and star in a spanish soap opera: in progress"
1.5, "God is not a man, so	he does not lie.	He is not human, so	he does not change	his mind.	Has he ever spoken and	failed to act?	Has he ever promised	and not carried it	through?"
1.5, "Google won't search for Chuck Norris because it knows you don't find Chuck Norris, he finds you."
1.5, "got the house to myself for 48hrs, going into a vegetative state and taking the cat wit me"
1.5, "got to be acting Academic Team captain at Quiz Bowl, and it made her very happy. Hermitage Team came it second-to-last, but it was still loads of fun."
1.5, "had a fun time at the corn maze tonight, and glad to not have spent his Sat. night at time."
1.5, "Had Greek food today, it was great"
1.5, "happy, got new friends, and lifes getting smoother."
1.5, "has just be to the carnival with Louise n Tarron, Dad n Jayden. Been running round after Jayden an am knackered but Jayden enjoyed himself bless him."
1.5, "He stepped down, trying not to look long at her, as if she were the sun, yet he saw her, like the sun, even without looking."
1.5, "Heading home to Jakarta... Senangnya, syalalalala"
1.5, "Hey, anyone who has year one german with Haar, what did we have to do again? I know it was a worksheet but what?"
1.5, "His armband proved he was a red, Torres, Torres, you'll never walk alone it said, Torres, Torres..."
1.5, "Hoping that this training\ doesnt take 3 hours like the chaplain said it would. I hope he doesnt pass out copies of the \""Shack\""....\"""""
1.5, "hot, scared, nd a lil sweaty.  all in all it was a good day."
1.5, "I am a jack of all trades, yet master of none."
1.5, "I am going to be without the internet for an indefinite amount of time, I don't have a mobile either so if anyone needs to contact me please use smoke signals. ty"
1.5, "I am working on my second youtube cartoon.  This one will the Grey's.  For those who knew me years ago.  It is the Stupid Squad, but I felt a name change was in order.  So I do hope you like it.  I should have it up tomorrow."
1.5, "I can now add 'Ginger Tea' to the list of things that I have burned while attempting to cook them, it might top 'hard boiled eggs' but I am not sure."
1.5, "I can tell whenever someone enters my server, even when I'm not on Minecraft or are looking at the software.		The lag spike slows my music."
1.5, "I Could Not Have Wanted My Birthdai Any Different> Just To Chill Take A Second And Sit Back And C Witch Way My Life Iz Going, And Itz Going Well"
1.5, "I feel like I've been lied to all my life. But in a I'm happy I have been kind of way. Probably doesn't even make sense, but that's ok."
1.5, "I go crazy sometimes, I go crazy tryin' to keep you from losing your mind. -<PERSON>"
1.5, "i had the best time lastnight it was only the first half day of spring break but me,r<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,and <PERSON> had the best time we did so much and we still have a week to go. God i love my friends"
1.5, "I have made an observation: the more senior the person, the more smartly dressed they are during the day, but interestingly, the more casually dressed they are in the evening."
1.5, "I heard em all talk, about how much they want me, but aint never had nobody put it on me. Keep doing what you doing cause it aint been done to me."
1.5, "i never realized how many great pics of great people i have. Im trying to bring them over to here.  fun fun fun.  We went to the dali museum today, I haven't been since 98, then we played at the park.. It was a spectacular day."
1.5, "I received an email from Walmart informing me that they miss me.  Thanks Walmart.  I don't miss you back, but I appreciate the sentiment."
1.5, "I was in the pub with the missus last night, and I said, I love you.\ 	She said"""
1.5, "I'm selling some college books if anybody's interested.  College Algebra, Applied Ethics, and World Cinema."
1.5, "I'm stronger because of my hard times, wiser because of my mistakes, happier because of my sad experiences, and smarter because of my moments of confusion"
1.5, "I've been job hunting for a much better job than what I have now for months and it is so frustrating all of the responses I keep on getting are We are sorry there are no openings at this time\ I keep on praying that I get something soon.\"""""
1.5, "Idk why people are making a big deal bout the Jonas bros or Justin Beiber they are just people, but they can sing?"
1.5, "If the king does not move, his subordinates will not follow"
1.5, "If you died today, who would be taking care of the arrangements and would he or she be paying for it...that is what is on my mind.  Due to my new profession, I am currently welcoming any and all death jokes (okay, maybe not all, I would rather not have my"
1.5, "If you dont like the new FB, here is how you can change it back to the old. Look to the top left menu and click on MORE. Then drag STATUS UPDATES to the top. After dragging to top, click on it. That becomes your default and it is like before. Pass it on"
1.5, "If you have any history or family history of ovarian, cervical or breast cancer then you need to have these test done annually.  I have to have a hysterectomy on Oct 12th."
1.5, "in brawl the two excuses my brother uses after he loses is im not even trying\ and \""you got lucky\"".\"""""
1.5, "In Fayetteville now.  I flew in to Raleigh-Durham airport, and on the drive I knew I was getting close when I started seeing fences around used car dealerships.  The pawn shops and payday loan places were dead giveaways too.  Ditto strip clubs.  You military/veteran guys know just what I'm talking about."
1.5, "is in Ormond Beach, FL waiting to get unloaded."
1.5, "It would be like beating a unicorn to death with a bag full of rainbows\\"""""
1.5, "just chillin in detroit ,]"
1.5, "just got home, had a fun time running today"
1.5, "just saved a baby bird from a dog. good deed for the day, check."
1.5, "Let me fill your heart with joy and laughter. Togetherness, well that's all I'm after. Whenever you need me, I'll be there. I'll be there to protect you, with an unselfish love that respects you."
1.5, "Let me just quote the late-great Colonel Sanders, who said...I'm too drunk to taste this chicken.\\"""""
1.5, "Like this if you are a goat, cuz goats are madd"
1.5, "Looking for a good guitar, I'm a beginner, any recommendations?"
1.5, "Love me when I least deserve it, because that is when I need it the most."
1.5, "loving myself is simple, but letting someone else love u is so hard."
1.5, "man these quizzes are fun ,idk y i do them"
1.5, "Miss <PERSON> (as I hand out the new spelling lists): Don't lose your spelling lists because there are no more copies of these bad boys.\  Class (whispers and head bobbing): \""Bad boys"""
1.5, "More atrocities have been done in the name of religion than any other cause. for example, 9/11, the crusades, the inquisition, witch hunts, aztec human sacrifices, islamic jihads, roman persecution of christians, the thugee murders, child molestation, homosexual prosecution, racial prosecution, the buddhist burma incident, numerous incidents of jewish prosecution"
1.5, "My father once told me, We are always dying"
1.5, "My heart is broken for my sister. Her husband died today. She is a total mess, but I will help her get through this. I am strong enough. Maybe if I tell myself that enough, it will come true."
1.5, "My novel about gay ppl is going to be as popular as the hero Velcro Man, who fixes the velcro on the pants and shoes of ppl lying under rubble. I just get that feeling."
1.5, "never make someone your priority, when all you are to them, is an option."
1.5, "Nevr criticize ur bf's faults,rembr it may hv been these litle imperfections dat stoped him frm geting a beter gf...."
1.5, "No work today, Lucky me :)"
1.5, "Now if you know my name, you'll learn how deep to sink; Where rapture lies, I wait just beyond it's brink"
1.5, "Oh yea, this is in Haiti."
1.5, "Ok, paranormal activity 2 is actually pretty scary, and definitely more than the first one lol"
1.5, "People look at me and think I am strong.She can handle it.\Do they really know how I feel?\"""""
1.5, "Please hold, your status messages are important to me."
1.5, "Please put this on your status if you know someone, are related to, and adore someone who has ASD, PDD, ADHD, ADD Autism or Aspergers . These misunderstood, so called trouble maker\ kids just want to be treated like everyone else and can't speak out. But we can raise awareness ...... 93% won't copy and paste this"""
1.5, "Promise of the day - John 10:29 - My Father, which gave them me, is greater than all; and no man is able to pluck them out of my FatherÃ¢â‚¬â„¢s hand."
1.5, "Psalm 121:3 (New International Version)  3 He (God) will not let your foot slipÃ¢â‚¬â€         he who watches over you will not slumber,"
1.5, "Read one right after the other. <PERSON>: ... it is hard to find reliable cheap indicators saying when contrarians are more likely to be right.\ <PERSON>: \""Correlations between people who criticize a thing and people who misunderstand a thing are necessarily more instructive than they realize.\"" I love it when disparate bits find me.\"""""
1.5, "Realized at about midnight that I have the day off, now what to do with it...."
1.5, "realizes that it is the people that create the atmosphere of Chinese New Year, and it is the people he misses. Not Singapore."
1.5, "Rest in peace Grannie, you'll forever be loved and missed."
1.5, "Saturday-work, mani and pedi, long bike ride with <PERSON>-<PERSON>-<PERSON>-<PERSON>-<PERSON>, b-day pary at 4, b-day party at 6.  So much fun. Sunday-Laundry,cleaning,Colts game, and bike ride. What a fun and busy weekend."
1.5, "Saw Eclipse wed. night best movie I've seen all summer, so fat"
1.5, "says Don't Be Serious Be Sincere\\"""""
1.5, "says, Every turkey dies"
1.5, "sittin at home with my lil man waiting for him to take a nap, nothin to do today hit me up"
1.5, "Some say the world will end in fire, Some say in ice. From what I've tasted of desire I hold with those who favor fire. But if it had to perish twice, I think I know enough of hate To know that for destruction ice Is also great And would suffice."
1.5, "Sometimes you need to be strong,and admit that you are weak."
1.5, "sooo tired, I love my bed"
1.5, "Stumbled across this, seemed appropriate:  Our children coming into maturity will amaze us with the magic in their hearts"
1.5, "tell me when the pain is over, its been there too long im bored of it"
1.5, "Thanx everyone, rite now i'm with <PERSON>, <PERSON>, and <PERSON>"
1.5, "The difference between try and triumph is a little 'umph'.\\"""""
1.5, "The happiest people don't have the best of everything, they just make the best of everything they have."
1.5, "The optimist proclaims that we live in the best of all possible worlds, the pessimist fears this is true."
